Datetime,Tweet Id,Text,Username,sentiment,sentiment_score,emotion,emotion_score,clean_text
2022-07-19 14:13:30+00:00,1549397018619138052,"@AmanNagpal81 @SamsungIndia @SamsungMobile @Apple @Dell @ASUS @msigaming @XiaomiIndia @Xiaomi @Acer @Acer_India @AcerAmerica @InfinixIndia @timcook79 I need only leptop bro for my educational purpose 😞😞
@Acer_India",_shubhutanwar,neutral,0.6999799013137817,sadness,0.9273203015327454,"@AmanNagpal81 @SamsungIndia @SamsungMobile @Apple @Dell @ASUS @msigaming @XiaomiIndia @Xiaomi @Acer @Acer_India @AcerAmerica @InfinixIndia @timcook79 I need only leptop bro for my educational purpose 😞😞
@Acer_India"
2022-05-02 14:37:44+00:00,1521136862571950080,@jackoneill1984 @GamersNexus @Dell taking one for the team,laserboyyy1,neutral,0.7014786601066589,joy,0.7674574851989746,@jackoneill1984 @GamersNexus @Dell taking one for the team
2022-02-16 05:34:17+00:00,1493821010293841921,@MichaelDell @Dell @DellCaresPRO one more https://t.co/4lKkc7djNR,sunnykaushal54,neutral,0.7436835765838623,anticipation,0.2343330532312393,@MichaelDell @Dell @DellCaresPRO one more
2022-02-26 14:14:19+00:00,1497575761900826627,@DellCares What should we do if your dealer cheated rather both customer and @Dell by giving locally fitted SSD and now on complaint you are denying @jagograhakjago,DrSanjayDhanuka,negative,0.841556966304779,anger,0.9835225939750672,@DellCares What should we do if your dealer cheated rather both customer and @Dell by giving locally fitted SSD and now on complaint you are denying @jagograhakjago
2022-09-02 22:39:32+00:00,1565831821727879170,#facebookdown @TheRock @steveaustinBSR  @WWEUniverse  @JohnCena #psndown @Microsoft @playstation @starwars @Dell @CountryMusic @_KennyRogers @ScienceNews @StarTrek if u could bring back a music artist from your childhood to help you when your stress that passaway who would u pick,johnphillips34,neutral,0.9018575549125672,anticipation,0.5509122014045715,#facebookdown @TheRock @steveaustinBSR  @WWEUniverse  @JohnCena #psndown @Microsoft @playstation @starwars @Dell @CountryMusic @_KennyRogers @ScienceNews @StarTrek if u could bring back a music artist from your childhood to help you when your stress that passaway who would u pick
2022-07-06 17:41:41+00:00,1544738366830288896,Stay away from @Dell Precision 3260 Compact USFF. Gen 12 processor too damn hot for its own good. Dealing with 5 overheating and shutting down… that is all,sarahmarie79,negative,0.9109659194946288,anger,0.9682734608650208,Stay away from @Dell Precision 3260 Compact USFF. Gen 12 processor too damn hot for its own good. Dealing with 5 overheating and shutting down… that is all
2022-02-02 14:29:26+00:00,1488882256072613890,@Rossdraws @RodrigoDraws @Dell I will name her Eliza Korina,XY_PR0JECT,neutral,0.7961233258247375,joy,0.538771390914917,@Rossdraws @RodrigoDraws @Dell I will name her Eliza Korina
2022-02-11 02:26:57+00:00,1491961929044135937,@Dell Clean version: A device that won't work on my phone,MEVogelsang01,negative,0.8386387228965759,disgust,0.8650842905044556,@Dell Clean version: A device that won't work on my phone
2022-06-16 14:03:31+00:00,1537435709333639171,@PCMag @Dell Just wait till it overheats,Zefoy,neutral,0.6024392247200012,disgust,0.5129841566085815,@PCMag @Dell Just wait till it overheats
2022-08-20 20:32:05+00:00,1561088705368326145,"@DellAustralia @miyavi_ishihara I wrote most of my book on a @Dell
↗️Promoted 😉😉😉

https://t.co/fD8jfySFH7

#book #oprah #elvis #spongebob #Sydney #amwriting #amreading #romance #ebook #words #love #hero #SavingLives",amackinnon69,positive,0.8541948199272156,joy,0.9905869364738464,"@DellAustralia @miyavi_ishihara I wrote most of my book on a @Dell
↗️Promoted 😉😉😉



#book #oprah #elvis #spongebob #Sydney #amwriting #amreading #romance #ebook #words #love #hero #SavingLives"
